000007 - JUBILADO
000008 - ESTUDIANTE
000009 - AMA DE CASA
000010 - EX - AGENTE DE LA ADM. PUBLILCA
000011 - TRABAJADOR RELAC. DEPENDENCIA
000012 - SIN ACTIVIDAD ECONOMICA
000013 - AGRICULTURA FAMILIAR
011111 - CULTIVO DE ARROZ
011112 - CULTIVO DE TRIGO
011119 - CULTIVO DE CEREALES EXCEPTO LOS FORRAJEROS Y LAS SEMILLAS N.C.P.
011121 - CULTIVO DE MAIZ
011122 - CULTIVO DE SORGO GRANIFERO
011129 - CULTIVO DE CEREALES FORRAJEROS N.C.P.
011131 - CULTIVO DE SOJA
011132 - CULTIVO DE GIRASOL
011139 - CULTIVO DE OLEAGINOSAS N.C.P.
011140 - CULTIVO DE PASTOS FORRAJEROS
011210 - CULTIVO DE PAPA,BATATA Y MANDIOCA
011221 - CULTIVO DE TOMATE
011229 - CULTIVO DE BULBOS,BROTES,RAICES Y HORTALIZAS DE FRUTOS N.C.P.
011230 - CULTIVO DE HORTALIZAS DE HOJA Y DE OTRAS HORTALIZAS FRESCAS
011241 - CULTIVO DE LEGUMBRES FRESCAS
011242 - CULTIVO DE LEGUMBRES SECAS
011251 - CULTIVO DE FLORES
011252 - CULTIVO DE PLANTAS ORNAMENTALES
011311 - CULTIVO DE MANZANA Y PERA
011319 - CULTIVO DE FRUTAS DE PEPITA N.C.P.
011320 - CULTIVO DE FRUTAS DE CAROZO
011330 - CULTIVO DE FRUTAS CITRICAS
011340 - CULTIVO DE NUECES Y FRUTAS SECAS
011390 - CULTIVO DE FRUTAS N.C.P.
011411 - CULTIVO DE ALGODON
011419 - CULTIVO DE PLANTAS PARA LA OBTENCION DE FIBRAS N.C.P.
011421 - CULTIVO DE CAÑA DE AZUCAR
011429 - CULTIVO DE PLANTAS SACARIFERAS N.C.P.
011430 - CULTIVO DE VID PARA VINIFICAR
011440 - CULTIVO DE TE,YERBA MATE Y OTRAS PLANTAS CUYAS HOJAS SE UTILIZAN PARA PREPARAR BEBIDAS
011450 - CULTIVO DE TABACO
011460 - CULTIVO DE ESPECIAS
011490 - CULTIVOS INDUSTRIALES N.C.P.
011511 - PRODUCCION DE SEMILLAS HIBRIDAS DE CEREALES Y OLEAGINOSAS
011512 - PRODUCCION DE SEMILLAS VARIETALES O AUTOFECUNDADAS DE CEREALES,OLEAGINOSAS,Y FORRAJERAS
011513 - PRODUCCION DE SEMILLAS DE HORTALIZAS Y LEGUMBRES,FLORES Y PLANTAS ORNAMENTALES Y ARBOLES FRUTALES
011519 - PRODUCCION DE SEMILLAS DE CULTIVOS AGRICOLAS N.C.P.
011520 - PRODUCCION DE OTRAS FORMAS DE PROPAGACION DE CULTIVOS AGRICOLAS
012111 - CRIA DE GANADO BOVINO -EXCEPTO EN CABAÑAS Y PARA LA PRODUCCION DE LECHE-
012112 - INVERNADA DE GANADO BOVINO EXCEPTO EL ENGORDE EN CORRALES
012113 - ENGORDE EN CORRALES
012120 - CRIA DE GANADO OVINO,EXCEPTO EN CABAÑAS Y PARA LA PRODUCCION DE LANA
012130 - CRIA DE GANADO PORCINO,EXCEPTO EN CABAÑAS
012140 - CRIA DE GANADO EQUINO,EXCEPTO EN HARAS
